snapshot_date,store_id,product_id,quantity_on_hand,reorder_point
2026-07-15,ST-001,PR-00001,157,54
2026-07-15,ST-001,PR-00002,292,38
2026-07-15,ST-001,PR-00003,12,30
2026-07-15,ST-001,PR-00004,91,83
2026-07-15,ST-001,PR-00005,162,43
2026-07-15,ST-001,PR-00006,133,28
2026-07-15,ST-001,PR-00007,346,57
2026-07-15,ST-001,PR-00008,155,95
2026-07-15,ST-001,PR-00009,57,40
2026-07-15,ST-001,PR-00010,270,48
2026-07-15,ST-001,PR-00011,100,70
2026-07-15,ST-001,PR-00012,446,67
2026-07-15,ST-001,PR-00013,89,81
2026-07-15,ST-001,PR-00014,135,95
2026-07-15,ST-001,PR-00015,86,80
2026-07-15,ST-001,PR-00016,281,84
2026-07-15,ST-001,PR-00017,72,77
2026-07-15,ST-001,PR-00018,195,40
2026-07-15,ST-001,PR-00019,193,57
2026-07-15,ST-001,PR-00020,465,95
2026-07-15,ST-001,PR-00021,106,62
2026-07-15,ST-001,PR-00022,298,29
2026-07-15,ST-001,PR-00023,446,21
2026-07-15,ST-001,PR-00024,122,65
2026-07-15,ST-001,PR-00025,401,77
2026-07-15,ST-001,PR-00026,195,28
2026-07-15,ST-001,PR-00027,101,54
2026-07-15,ST-001,PR-00028,136,40
2026-07-15,ST-001,PR-00029,2,65
2026-07-15,ST-001,PR-00030,176,56
2026-07-15,ST-001,PR-00031,156,82
2026-07-15,ST-001,PR-00032,89,32
2026-07-15,ST-001,PR-00033,269,90
2026-07-15,ST-001,PR-00034,436,87
2026-07-15,ST-001,PR-00035,346,66
2026-07-15,ST-001,PR-00036,419,52
2026-07-15,ST-001,PR-00037,282,80
2026-07-15,ST-001,PR-00038,30,93
2026-07-15,ST-001,PR-00039,449,96
2026-07-15,ST-001,PR-00040,212,40
2026-07-15,ST-001,PR-00041,84,88
2026-07-15,ST-001,PR-00042,242,75
2026-07-15,ST-001,PR-00043,314,24
2026-07-15,ST-001,PR-00044,444,47
2026-07-15,ST-001,PR-00045,92,49
2026-07-15,ST-001,PR-00046,476,78
2026-07-15,ST-001,PR-00047,500,57
2026-07-15,ST-001,PR-00048,203,34
2026-07-15,ST-001,PR-00049,54,80
2026-07-15,ST-001,PR-00050,360,22
2026-07-15,ST-001,PR-00051,113,78
2026-07-15,ST-001,PR-00052,112,37
2026-07-15,ST-001,PR-00053,495,100
2026-07-15,ST-001,PR-00054,426,45
2026-07-15,ST-001,PR-00055,191,82
2026-07-15,ST-001,PR-00056,136,44
2026-07-15,ST-001,PR-00057,55,34
2026-07-15,ST-001,PR-00058,180,29
2026-07-15,ST-001,PR-00059,71,23
2026-07-15,ST-001,PR-00060,391,25
2026-07-15,ST-001,PR-00061,279,67
2026-07-15,ST-001,PR-00062,175,51
2026-07-15,ST-001,PR-00063,238,27
2026-07-15,ST-001,PR-00064,364,24
2026-07-15,ST-001,PR-00065,416,81
2026-07-15,ST-001,PR-00066,196,67
2026-07-15,ST-001,PR-00067,419,69
2026-07-15,ST-001,PR-00068,429,35
2026-07-15,ST-001,PR-00069,56,87
2026-07-15,ST-001,PR-00070,3,83
2026-07-15,ST-001,PR-00071,29,53
2026-07-15,ST-001,PR-00072,188,70
2026-07-15,ST-001,PR-00073,291,79
2026-07-15,ST-001,PR-00074,376,50
2026-07-15,ST-001,PR-00075,92,98
2026-07-15,ST-001,PR-00076,47,64
2026-07-15,ST-001,PR-00077,74,38
2026-07-15,ST-001,PR-00078,391,76
2026-07-15,ST-001,PR-00079,28,82
2026-07-15,ST-001,PR-00080,371,99
2026-07-15,ST-001,PR-00081,123,21
2026-07-15,ST-001,PR-00082,499,83
2026-07-15,ST-001,PR-00083,6,83
2026-07-15,ST-001,PR-00084,226,50
2026-07-15,ST-001,PR-00085,242,82
2026-07-15,ST-001,PR-00086,413,42
2026-07-15,ST-001,PR-00087,47,88
2026-07-15,ST-001,PR-00088,483,53
2026-07-15,ST-001,PR-00089,487,54
2026-07-15,ST-001,PR-00090,275,89
2026-07-15,ST-001,PR-00091,493,68
2026-07-15,ST-001,PR-00092,478,26
2026-07-15,ST-001,PR-00093,402,85
2026-07-15,ST-001,PR-00094,464,35
2026-07-15,ST-001,PR-00095,162,31
2026-07-15,ST-001,PR-00096,235,62
2026-07-15,ST-001,PR-00097,404,56
2026-07-15,ST-001,PR-00098,252,39
2026-07-15,ST-001,PR-00099,281,20
2026-07-15,ST-001,PR-00100,436,54
2026-07-15,ST-001,PR-00101,12,95
2026-07-15,ST-001,PR-00102,26,72
2026-07-15,ST-001,PR-00103,257,82
2026-07-15,ST-001,PR-00104,51,37
2026-07-15,ST-001,PR-00105,485,100
2026-07-15,ST-001,PR-00106,295,55
2026-07-15,ST-001,PR-00107,286,89
2026-07-15,ST-001,PR-00108,53,73
2026-07-15,ST-001,PR-00109,67,96
2026-07-15,ST-001,PR-00110,496,51
2026-07-15,ST-001,PR-00111,392,25
2026-07-15,ST-001,PR-00112,197,100
2026-07-15,ST-001,PR-00113,400,47
2026-07-15,ST-001,PR-00114,161,76
2026-07-15,ST-001,PR-00115,115,21
2026-07-15,ST-001,PR-00116,44,42
2026-07-15,ST-001,PR-00117,56,42
2026-07-15,ST-001,PR-00118,151,42
2026-07-15,ST-001,PR-00119,379,56
2026-07-15,ST-001,PR-00120,23,23
2026-07-15,ST-001,PR-00121,333,84
2026-07-15,ST-001,PR-00122,172,35
2026-07-15,ST-001,PR-00123,390,73
2026-07-15,ST-001,PR-00124,449,80
2026-07-15,ST-001,PR-00125,16,65
2026-07-15,ST-001,PR-00126,295,33
2026-07-15,ST-001,PR-00127,297,39
2026-07-15,ST-001,PR-00128,395,96
2026-07-15,ST-001,PR-00129,54,35
2026-07-15,ST-001,PR-00130,311,40
2026-07-15,ST-001,PR-00131,285,62
2026-07-15,ST-001,PR-00132,322,74
2026-07-15,ST-001,PR-00133,289,60
2026-07-15,ST-001,PR-00134,133,33
2026-07-15,ST-001,PR-00135,8,58
2026-07-15,ST-001,PR-00136,223,34
2026-07-15,ST-001,PR-00137,43,76
2026-07-15,ST-001,PR-00138,62,95
2026-07-15,ST-001,PR-00139,428,90
2026-07-15,ST-001,PR-00140,433,37
2026-07-15,ST-001,PR-00141,141,82
2026-07-15,ST-001,PR-00142,68,29
2026-07-15,ST-001,PR-00143,286,88
2026-07-15,ST-001,PR-00144,140,25
2026-07-15,ST-001,PR-00145,481,67
2026-07-15,ST-001,PR-00146,142,48
2026-07-15,ST-001,PR-00147,239,28
2026-07-15,ST-001,PR-00148,368,99
2026-07-15,ST-001,PR-00149,433,76
2026-07-15,ST-001,PR-00150,245,59
2026-07-15,ST-001,PR-00151,31,46
2026-07-15,ST-001,PR-00152,416,57
2026-07-15,ST-001,PR-00153,436,68
2026-07-15,ST-001,PR-00154,104,90
2026-07-15,ST-001,PR-00155,57,51
2026-07-15,ST-001,PR-00156,112,86
2026-07-15,ST-001,PR-00157,131,61
2026-07-15,ST-001,PR-00158,91,24
2026-07-15,ST-001,PR-00159,27,30
2026-07-15,ST-001,PR-00160,18,48
2026-07-15,ST-001,PR-00161,51,77
2026-07-15,ST-001,PR-00162,226,73
2026-07-15,ST-001,PR-00163,40,43
2026-07-15,ST-001,PR-00164,262,97
2026-07-15,ST-001,PR-00165,18,88
2026-07-15,ST-001,PR-00166,163,63
2026-07-15,ST-001,PR-00167,306,25
2026-07-15,ST-001,PR-00168,480,69
2026-07-15,ST-001,PR-00169,380,71
2026-07-15,ST-001,PR-00170,34,24
2026-07-15,ST-001,PR-00171,320,42
2026-07-15,ST-001,PR-00172,45,34
2026-07-15,ST-001,PR-00173,63,52
2026-07-15,ST-001,PR-00174,205,20
2026-07-15,ST-001,PR-00175,256,67
2026-07-15,ST-001,PR-00176,333,54
2026-07-15,ST-001,PR-00177,101,35
2026-07-15,ST-001,PR-00178,420,54
2026-07-15,ST-001,PR-00179,426,40
2026-07-15,ST-001,PR-00180,420,39
2026-07-15,ST-001,PR-00181,312,44
2026-07-15,ST-001,PR-00182,285,85
2026-07-15,ST-001,PR-00183,95,31
2026-07-15,ST-001,PR-00184,300,57
2026-07-15,ST-001,PR-00185,360,59
2026-07-15,ST-001,PR-00186,317,71
2026-07-15,ST-001,PR-00187,413,33
2026-07-15,ST-001,PR-00188,137,65
2026-07-15,ST-001,PR-00189,405,79
2026-07-15,ST-001,PR-00190,368,29
2026-07-15,ST-001,PR-00191,425,48
2026-07-15,ST-001,PR-00192,254,28
2026-07-15,ST-001,PR-00193,144,67
2026-07-15,ST-001,PR-00194,58,28
2026-07-15,ST-001,PR-00195,474,95
2026-07-15,ST-001,PR-00196,422,45
2026-07-15,ST-001,PR-00197,103,63
2026-07-15,ST-001,PR-00198,479,34
2026-07-15,ST-001,PR-00199,88,79
2026-07-15,ST-001,PR-00200,359,94
2026-07-15,ST-002,PR-00001,287,34
2026-07-15,ST-002,PR-00002,262,99
2026-07-15,ST-002,PR-00003,296,87
2026-07-15,ST-002,PR-00004,90,88
2026-07-15,ST-002,PR-00005,117,83
2026-07-15,ST-002,PR-00006,397,67
2026-07-15,ST-002,PR-00007,470,61
2026-07-15,ST-002,PR-00008,103,40
2026-07-15,ST-002,PR-00009,76,58
2026-07-15,ST-002,PR-00010,417,80
2026-07-15,ST-002,PR-00011,113,73
2026-07-15,ST-002,PR-00012,257,58
2026-07-15,ST-002,PR-00013,414,70
2026-07-15,ST-002,PR-00014,372,68
2026-07-15,ST-002,PR-00015,170,53
2026-07-15,ST-002,PR-00016,294,71
2026-07-15,ST-002,PR-00017,45,27
2026-07-15,ST-002,PR-00018,433,70
2026-07-15,ST-002,PR-00019,33,83
2026-07-15,ST-002,PR-00020,74,47
2026-07-15,ST-002,PR-00021,163,23
2026-07-15,ST-002,PR-00022,185,87
2026-07-15,ST-002,PR-00023,380,78
2026-07-15,ST-002,PR-00024,312,30
2026-07-15,ST-002,PR-00025,21,63
2026-07-15,ST-002,PR-00026,263,36
2026-07-15,ST-002,PR-00027,379,37
2026-07-15,ST-002,PR-00028,204,88
2026-07-15,ST-002,PR-00029,185,30
2026-07-15,ST-002,PR-00030,393,50
2026-07-15,ST-002,PR-00031,448,86
2026-07-15,ST-002,PR-00032,317,44
2026-07-15,ST-002,PR-00033,266,39
2026-07-15,ST-002,PR-00034,230,21
2026-07-15,ST-002,PR-00035,472,94
2026-07-15,ST-002,PR-00036,20,99
2026-07-15,ST-002,PR-00037,363,22
2026-07-15,ST-002,PR-00038,45,96
2026-07-15,ST-002,PR-00039,351,20
2026-07-15,ST-002,PR-00040,66,96
2026-07-15,ST-002,PR-00041,470,42
2026-07-15,ST-002,PR-00042,500,45
2026-07-15,ST-002,PR-00043,102,63
2026-07-15,ST-002,PR-00044,347,44
2026-07-15,ST-002,PR-00045,479,77
2026-07-15,ST-002,PR-00046,63,55
2026-07-15,ST-002,PR-00047,194,91
2026-07-15,ST-002,PR-00048,404,24
2026-07-15,ST-002,PR-00049,100,34
2026-07-15,ST-002,PR-00050,379,28
2026-07-15,ST-002,PR-00051,482,45
2026-07-15,ST-002,PR-00052,273,72
2026-07-15,ST-002,PR-00053,57,81
2026-07-15,ST-002,PR-00054,56,50
2026-07-15,ST-002,PR-00055,427,97
2026-07-15,ST-002,PR-00056,60,93
2026-07-15,ST-002,PR-00057,340,34
2026-07-15,ST-002,PR-00058,379,21
2026-07-15,ST-002,PR-00059,41,93
2026-07-15,ST-002,PR-00060,217,99
2026-07-15,ST-002,PR-00061,204,33
2026-07-15,ST-002,PR-00062,58,48
2026-07-15,ST-002,PR-00063,149,44
2026-07-15,ST-002,PR-00064,180,41
2026-07-15,ST-002,PR-00065,351,25
2026-07-15,ST-002,PR-00066,34,20
2026-07-15,ST-002,PR-00067,167,90
2026-07-15,ST-002,PR-00068,66,58
2026-07-15,ST-002,PR-00069,326,59
2026-07-15,ST-002,PR-00070,219,36
2026-07-15,ST-002,PR-00071,354,87
2026-07-15,ST-002,PR-00072,13,72
2026-07-15,ST-002,PR-00073,356,53
2026-07-15,ST-002,PR-00074,482,53
2026-07-15,ST-002,PR-00075,312,21
2026-07-15,ST-002,PR-00076,426,40
2026-07-15,ST-002,PR-00077,183,25
2026-07-15,ST-002,PR-00078,289,37
2026-07-15,ST-002,PR-00079,107,59
2026-07-15,ST-002,PR-00080,262,90
2026-07-15,ST-002,PR-00081,389,70
2026-07-15,ST-002,PR-00082,63,67
2026-07-15,ST-002,PR-00083,143,68
2026-07-15,ST-002,PR-00084,265,36
2026-07-15,ST-002,PR-00085,197,99
2026-07-15,ST-002,PR-00086,43,66
2026-07-15,ST-002,PR-00087,282,59
2026-07-15,ST-002,PR-00088,162,20
2026-07-15,ST-002,PR-00089,389,71
2026-07-15,ST-002,PR-00090,476,76
2026-07-15,ST-002,PR-00091,409,37
2026-07-15,ST-002,PR-00092,312,66
2026-07-15,ST-002,PR-00093,52,40
2026-07-15,ST-002,PR-00094,306,28
2026-07-15,ST-002,PR-00095,5,46
2026-07-15,ST-002,PR-00096,72,82
2026-07-15,ST-002,PR-00097,466,23
2026-07-15,ST-002,PR-00098,323,97
2026-07-15,ST-002,PR-00099,230,55
2026-07-15,ST-002,PR-00100,382,29
2026-07-15,ST-002,PR-00101,203,57
2026-07-15,ST-002,PR-00102,325,32
2026-07-15,ST-002,PR-00103,73,94
2026-07-15,ST-002,PR-00104,186,74
2026-07-15,ST-002,PR-00105,211,63
2026-07-15,ST-002,PR-00106,467,69
2026-07-15,ST-002,PR-00107,399,24
2026-07-15,ST-002,PR-00108,115,45
2026-07-15,ST-002,PR-00109,137,77
2026-07-15,ST-002,PR-00110,445,27
2026-07-15,ST-002,PR-00111,100,95
2026-07-15,ST-002,PR-00112,213,76
2026-07-15,ST-002,PR-00113,57,99
2026-07-15,ST-002,PR-00114,260,96
2026-07-15,ST-002,PR-00115,461,53
2026-07-15,ST-002,PR-00116,281,74
2026-07-15,ST-002,PR-00117,23,79
2026-07-15,ST-002,PR-00118,238,29
2026-07-15,ST-002,PR-00119,37,91
2026-07-15,ST-002,PR-00120,373,70
2026-07-15,ST-002,PR-00121,84,35
2026-07-15,ST-002,PR-00122,305,22
2026-07-15,ST-002,PR-00123,274,62
2026-07-15,ST-002,PR-00124,262,41
2026-07-15,ST-002,PR-00125,396,94
2026-07-15,ST-002,PR-00126,428,21
2026-07-15,ST-002,PR-00127,446,68
2026-07-15,ST-002,PR-00128,222,22
2026-07-15,ST-002,PR-00129,431,63
2026-07-15,ST-002,PR-00130,196,41
2026-07-15,ST-002,PR-00131,284,57
2026-07-15,ST-002,PR-00132,310,93
2026-07-15,ST-002,PR-00133,168,78
2026-07-15,ST-002,PR-00134,411,33
2026-07-15,ST-002,PR-00135,285,97
2026-07-15,ST-002,PR-00136,383,84
2026-07-15,ST-002,PR-00137,90,54
2026-07-15,ST-002,PR-00138,467,37
2026-07-15,ST-002,PR-00139,185,71
2026-07-15,ST-002,PR-00140,353,79
2026-07-15,ST-002,PR-00141,465,34
2026-07-15,ST-002,PR-00142,200,32
2026-07-15,ST-002,PR-00143,229,97
2026-07-15,ST-002,PR-00144,424,21
2026-07-15,ST-002,PR-00145,140,69
2026-07-15,ST-002,PR-00146,312,64
2026-07-15,ST-002,PR-00147,158,45
2026-07-15,ST-002,PR-00148,354,73
2026-07-15,ST-002,PR-00149,299,63
2026-07-15,ST-002,PR-00150,147,77
2026-07-15,ST-002,PR-00151,200,25
2026-07-15,ST-002,PR-00152,188,87
2026-07-15,ST-002,PR-00153,423,100
2026-07-15,ST-002,PR-00154,287,61
2026-07-15,ST-002,PR-00155,154,57
2026-07-15,ST-002,PR-00156,197,95
2026-07-15,ST-002,PR-00157,108,54
2026-07-15,ST-002,PR-00158,229,88
2026-07-15,ST-002,PR-00159,58,71
2026-07-15,ST-002,PR-00160,38,75
2026-07-15,ST-002,PR-00161,32,39
2026-07-15,ST-002,PR-00162,439,26
2026-07-15,ST-002,PR-00163,9,78
2026-07-15,ST-002,PR-00164,300,21
2026-07-15,ST-002,PR-00165,172,55
2026-07-15,ST-002,PR-00166,59,98
2026-07-15,ST-002,PR-00167,430,32
2026-07-15,ST-002,PR-00168,446,54
2026-07-15,ST-002,PR-00169,331,60
2026-07-15,ST-002,PR-00170,93,85
2026-07-15,ST-002,PR-00171,168,88
2026-07-15,ST-002,PR-00172,285,40
2026-07-15,ST-002,PR-00173,357,89
2026-07-15,ST-002,PR-00174,341,47
2026-07-15,ST-002,PR-00175,54,38
2026-07-15,ST-002,PR-00176,196,64
2026-07-15,ST-002,PR-00177,50,67
2026-07-15,ST-002,PR-00178,450,34
2026-07-15,ST-002,PR-00179,366,26
2026-07-15,ST-002,PR-00180,449,94
2026-07-15,ST-002,PR-00181,142,30
2026-07-15,ST-002,PR-00182,198,20
2026-07-15,ST-002,PR-00183,175,40
2026-07-15,ST-002,PR-00184,212,73
2026-07-15,ST-002,PR-00185,208,67
2026-07-15,ST-002,PR-00186,430,67
2026-07-15,ST-002,PR-00187,104,77
2026-07-15,ST-002,PR-00188,295,85
2026-07-15,ST-002,PR-00189,176,71
2026-07-15,ST-002,PR-00190,286,52
2026-07-15,ST-002,PR-00191,465,21
2026-07-15,ST-002,PR-00192,146,20
2026-07-15,ST-002,PR-00193,393,25
2026-07-15,ST-002,PR-00194,334,70
2026-07-15,ST-002,PR-00195,356,100
2026-07-15,ST-002,PR-00196,17,66
2026-07-15,ST-002,PR-00197,83,98
2026-07-15,ST-002,PR-00198,403,76
2026-07-15,ST-002,PR-00199,23,91
2026-07-15,ST-002,PR-00200,485,82
2026-07-15,ST-003,PR-00001,465,69
2026-07-15,ST-003,PR-00002,203,59
2026-07-15,ST-003,PR-00003,376,65
2026-07-15,ST-003,PR-00004,209,51
2026-07-15,ST-003,PR-00005,47,60
2026-07-15,ST-003,PR-00006,467,50
2026-07-15,ST-003,PR-00007,303,95
2026-07-15,ST-003,PR-00008,244,58
2026-07-15,ST-003,PR-00009,157,49
2026-07-15,ST-003,PR-00010,35,59
2026-07-15,ST-003,PR-00011,113,33
2026-07-15,ST-003,PR-00012,460,88
2026-07-15,ST-003,PR-00013,445,35
2026-07-15,ST-003,PR-00014,87,64
2026-07-15,ST-003,PR-00015,109,70
2026-07-15,ST-003,PR-00016,419,39
2026-07-15,ST-003,PR-00017,494,64
2026-07-15,ST-003,PR-00018,244,71
2026-07-15,ST-003,PR-00019,391,64
2026-07-15,ST-003,PR-00020,26,20
2026-07-15,ST-003,PR-00021,439,67
2026-07-15,ST-003,PR-00022,91,27
2026-07-15,ST-003,PR-00023,221,36
2026-07-15,ST-003,PR-00024,122,37
2026-07-15,ST-003,PR-00025,466,41
2026-07-15,ST-003,PR-00026,414,89
2026-07-15,ST-003,PR-00027,487,27
2026-07-15,ST-003,PR-00028,12,25
2026-07-15,ST-003,PR-00029,40,67
2026-07-15,ST-003,PR-00030,181,81
2026-07-15,ST-003,PR-00031,371,76
2026-07-15,ST-003,PR-00032,301,70
2026-07-15,ST-003,PR-00033,307,57
2026-07-15,ST-003,PR-00034,134,20
2026-07-15,ST-003,PR-00035,19,74
2026-07-15,ST-003,PR-00036,164,20
2026-07-15,ST-003,PR-00037,210,27
2026-07-15,ST-003,PR-00038,2,44
2026-07-15,ST-003,PR-00039,273,21
2026-07-15,ST-003,PR-00040,245,71
2026-07-15,ST-003,PR-00041,381,44
2026-07-15,ST-003,PR-00042,256,79
2026-07-15,ST-003,PR-00043,125,93
2026-07-15,ST-003,PR-00044,273,84
2026-07-15,ST-003,PR-00045,364,85
2026-07-15,ST-003,PR-00046,135,61
2026-07-15,ST-003,PR-00047,146,42
2026-07-15,ST-003,PR-00048,466,49
2026-07-15,ST-003,PR-00049,116,58
2026-07-15,ST-003,PR-00050,314,29
2026-07-15,ST-003,PR-00051,293,86
2026-07-15,ST-003,PR-00052,13,95
2026-07-15,ST-003,PR-00053,443,75
